"Exporter.ISO3","Importer.ISO3","lTrade.value.US"
"AGO","BWA",96.238
"AGO","CAF",22.456
"AGO","CMR",2806.694
"AGO","COD",262.675
"AGO","COG",421107.383
"AGO","GNQ",32316.495
"AGO","MOZ",1366.625
"AGO","NAM",59876.601
"AGO","NGA",31.894
"AGO","SEN",261.259
"AGO","STP",589.202
"AGO","ZAF",366.077
"BDI","COD",23934.701
"BDI","KEN",88.066
"BDI","SDN",348.08
"BDI","TZA",55103.91
"BDI","UGA",82
"BDI","ZWE",0.78
"BEN","AGO",91.092
"BEN","BDI",45.32
"BEN","BFA",93329.061
"BEN","CIV",12772.79
"BEN","COG",4447.21
"BEN","GIN",785.308
"BEN","MDG",9933.389
"BEN","MRT",1229.378
"BEN","NAM",543.893
"BEN","NER",66212.822
"BEN","NGA",89436.652
"BEN","RWA",13.54
"BEN","SEN",6.424
"BEN","TCD",662775.235
"BEN","TGO",248681.563
"BEN","ZAF",36.963
"BEN","ZWE",6.743
"BFA","BDI",56.87
"BFA","BEN",4377.704
"BFA","CIV",22211.22
"BFA","COG",911.6
"BFA","GHA",49634.638
"BFA","KEN",133.706
"BFA","MAR",105.298
"BFA","MLI",803881.503
"BFA","MRT",1169988.494
"BFA","NER",19290.064
"BFA","RWA",25293.171
"BFA","SEN",260.604
"BFA","TCD",9757.538
"BFA","TGO",113.517
"BFA","ZAF",43.4
"BWA","AGO",158695.27
"BWA","CMR",62.002
"BWA","COD",28227.217
"BWA","COG",1806.59
"BWA","ETH",5036.61
"BWA","GAB",257.379
"BWA","GHA",305.51
"BWA","GIN",66.339
"BWA","GMB",1527.552
"BWA","KEN",238738.974
"BWA","LBR",43.644
"BWA","LSO",156.267
"BWA","MOZ",195941.341
"BWA","MUS",68478.191
"BWA","MWI",288114.707
"BWA","NAM",1789995.83
"BWA","NGA",740.993
"BWA","RWA",371.734
"BWA","SWZ",73606.73
"BWA","SYC",251.504
"BWA","TZA",93
"BWA","UGA",610955
"BWA","ZAF",2983379.664
"BWA","ZMB",82205.324
"BWA","ZWE",2377506.705
"CAF","BFA",341.615
"CAF","CIV",45.39
"CAF","COD",133.779
"CIV","AGO",93257.589
"CIV","BDI",419.71
"CIV","BEN",1962897.307
"CIV","BFA",5955055.314
"CIV","CAF",112537.78
"CIV","CMR",639634.25
"CIV","COD",43616.951
"CIV","COG",503184.68
"CIV","DJI",4890.44
"CIV","EGY",6.346
"CIV","ETH",1897.31
"CIV","GAB",1188774.41
"CIV","GHA",19059065.97
"CIV","GIN",2198537.62
"CIV","GMB",46135.678
"CIV","GNB",81336.44
"CIV","GNQ",75716.65
"CIV","KEN",989.207
"CIV","LBR",1844564.72
"CIV","MAR",880.398
"CIV","MDG",17226.657
"CIV","MLI",14461166.63
"CIV","MOZ",441168.251
"CIV","MRT",129148.11
"CIV","MUS",26.09
"CIV","NAM",43383.056
"CIV","NER",13171821.206
"CIV","NGA",6961253.33
"CIV","RWA",11142.57
"CIV","SDN",153310.77
"CIV","SEN",6035812.139
"CIV","SLE",472843.22
"CIV","SOM",34508.92
"CIV","STP",349.606
"CIV","TCD",361790.6
"CIV","TGO",4175843.08
"CIV","TZA",7657.23
"CIV","UGA",16524
"CIV","ZAF",48564.313
"CIV","ZMB",47036.69
"CIV","ZWE",2154.32
"CMR","BEN",214058.747
"CMR","BFA",250442.055
"CMR","CAF",7583635.392
"CMR","CIV",170418.95
"CMR","COD",10679.401
"CMR","COG",6918498.12
"CMR","EGY",31.728
"CMR","ETH",26.75
"CMR","KEN",238.98
"CMR","NAM",1.199
"CMR","RWA",1062.31
"CMR","SEN",12757.232
"CMR","STP",9.299
"CMR","TGO",2165.548
"CMR","TZA",114.59
"CMR","UGA",1831
"CMR","ZAF",574.064
"CMR","ZMB",4337.447
"COD","AGO",312346.683
"COD","BDI",104659.14
"COD","BFA",43802.971
"COD","BWA",4093.829
"COD","CIV",3380.89
"COD","CMR",158868.477
"COD","COG",8998.39
"COD","GAB",95323.346
"COD","KEN",11480.148
"COD","NAM",26.907
"COD","RWA",42593.77
"COD","SEN",2815.33
"COD","SWZ",114
"COD","SYC",5.836
"COD","TZA",41
"COD","UGA",339809
"COD","ZAF",165226.303
"COD","ZMB",1719.729
"COG","AGO",73102.051
"COG","CAF",818.42
"COG","CIV",103.24
"COG","COD",32248.77
"COG","EGY",76.146
"COG","ETH",171.04
"COG","GAB",6107.75
"COG","KEN",1121.137
"COG","MOZ",151.402
"COG","NAM",20.015
"COG","NGA",171.04
"COG","STP",23.248
"COG","ZAF",21577.989
"CPV","CIV",119.61
"CPV","GNB",99401.658
"CPV","ZAF",1652.188
"DJI","ETH",8.24
"DJI","KEN",83.069
"DZA","BFA",41595.849
"DZA","CIV",172699.91
"DZA","EGY",25.89
"DZA","MAR",148443.049
"DZA","MRT",12217.778
"DZA","NER",933407.483
"DZA","SEN",27333.321
"DZA","TUN",53275.69
"DZA","ZAF",182293.494
"DZA","ZWE",1498.472
"EGY","AGO",304848.757
"EGY","BDI",1332538.45
"EGY","BEN",179215.275
"EGY","BFA",602108.775
"EGY","BWA",24180.094
"EGY","CAF",15498.16
"EGY","CIV",1789275.11
"EGY","CMR",525055.836
"EGY","COD",109699.804
"EGY","COG",33555.36
"EGY","COM",26201.02
"EGY","DJI",5162202.871
"EGY","DZA",5376889.345
"EGY","ERI",679637.171
"EGY","ETH",5834578.48
"EGY","GAB",22722.506
"EGY","GHA",600731.485
"EGY","GIN",34297.935
"EGY","KEN",34088863.11
"EGY","LBY",27661988.999
"EGY","LSO",14668.779
"EGY","MAR",8272671.728
"EGY","MDG",611600.103
"EGY","MLI",266388.098
"EGY","MOZ",2597.893
"EGY","MRT",81962.742
"EGY","MUS",1494226.161
"EGY","MWI",119900.944
"EGY","NAM",1442.298
"EGY","NER",1943112.138
"EGY","NGA",5557414.886
"EGY","RWA",708702.75
"EGY","SDN",26058337.698
"EGY","SEN",1840770.547
"EGY","SLE",47166.57
"EGY","SOM",6500535.232
"EGY","STP",313199.76
"EGY","SWZ",158.87
"EGY","SYC",17763.939
"EGY","TCD",830035.25
"EGY","TGO",55161.677
"EGY","TUN",21107561.5
"EGY","TZA",2573927.58
"EGY","UGA",7850576
"EGY","ZAF",1299523.945
"EGY","ZMB",123849.61
"EGY","ZWE",31844.34
"ERI","AGO",462.897
"ETH","AGO",395109.369
"ETH","BDI",229354.49
"ETH","BEN",15683.267
"ETH","BFA",1616.683
"ETH","BWA",220.25
"ETH","CIV",177102.48
"ETH","CMR",20985.65
"ETH","COD",20980.82
"ETH","COM",28745.07
"ETH","DJI",44144.65
"ETH","DZA",19644.77
"ETH","EGY",224.78
"ETH","GAB",20980.82
"ETH","GHA",53.29
"ETH","KEN",2224.119
"ETH","MDG",18508.933
"ETH","MOZ",357.302
"ETH","MUS",40534.297
"ETH","MWI",115467.614
"ETH","NAM",22307.569
"ETH","NER",961005.242
"ETH","NGA",3858749.671
"ETH","SDN",6938.26
"ETH","SEN",7408.739
"ETH","SOM",341228.5
"ETH","SSD",14530.66
"ETH","SWZ",82107.1
"ETH","SYC",90891.908
"ETH","TCD",18454.48
"ETH","TGO",31.22
"ETH","TZA",6024
"ETH","UGA",2064
"ETH","ZAF",22276.244
"ETH","ZMB",67380.121
"ETH","ZWE",104734.469
"GAB","AGO",38452.842
"GAB","BEN",59.071
"GAB","COG",4740.8
"GAB","MOZ",104.246
"GAB","NAM",454.902
"GAB","UGA",1919
"GAB","ZAF",31.753
"GHA","AGO",4972.789
"GHA","BEN",208576.155
"GHA","BFA",7025850.625
"GHA","BWA",2357.714
"GHA","CIV",11141915.93
"GHA","COG",55253.62
"GHA","EGY",38.073
"GHA","ETH",2571.81
"GHA","GMB",140115.731
"GHA","KEN",12551.034
"GHA","LSO",1.883
"GHA","MDG",281.766
"GHA","MOZ",5628.156
"GHA","MUS",2115.798
"GHA","NAM",2921.617
"GHA","NER",1329055.741
"GHA","NGA",106036.563
"GHA","RWA",7564.3
"GHA","SEN",1753568.153
"GHA","SWZ",574.4
"GHA","TGO",1011579.207
"GHA","TZA",18202.9
"GHA","UGA",59119
"GHA","ZAF",26045.387
"GHA","ZMB",12563.792
"GHA","ZWE",1814.088
"GIN","AGO",111.699
"GIN","BDI",96.23
"GIN","CIV",431.91
"GIN","MRT",3851.148
"GIN","MUS",5901.375
"GIN","ZAF",808.532
"GMB","MLI",2179.271
"GMB","SLE",5522.3
"GMB","ZAF",9.134
"GNQ","STP",899.333
"GNQ","ZAF",1.103
"KEN","AGO",1418603.502
"KEN","BDI",4820246.83
"KEN","BEN",30124.672
"KEN","BFA",276896.451
"KEN","BWA",2180212.094
"KEN","CAF",291704.118
"KEN","CIV",13662.01
"KEN","CMR",56428.636
"KEN","COD",2659565.378
"KEN","COG",140619.44
"KEN","COM",69947.29
"KEN","DJI",1891218.592
"KEN","EGY",198992.513
"KEN","ERI",50024.013
"KEN","ETH",4925875.42
"KEN","GAB",14456.056
"KEN","GHA",1285540.078
"KEN","GIN",13964.299
"KEN","GMB",96841.34
"KEN","LBR",2579.668
"KEN","LBY",41337.387
"KEN","LSO",123855.935
"KEN","MDG",435923.143
"KEN","MLI",611574.195
"KEN","MOZ",1685375.326
"KEN","MUS",1929385.375
"KEN","MWI",13230297.354
"KEN","NAM",419660.634
"KEN","NER",87697.942
"KEN","NGA",5669462.041
"KEN","RWA",35647008.04
"KEN","SEN",42844.474
"KEN","SLE",359713.359
"KEN","SOM",12276960.577
"KEN","SSD",7609886.389
"KEN","SWZ",47921.35
"KEN","SYC",141846.951
"KEN","TCD",264447.051
"KEN","TGO",173645.195
"KEN","TZA",73898098.55
"KEN","UGA",34517694
"KEN","ZAF",28641.024
"KEN","ZMB",15284925.173
"KEN","ZWE",504284.253
"LBR","AGO",29.568
"LBR","BEN",3835.144
"LBR","KEN",23.219
"LBY","BFA",15571.032
"LBY","NER",13513.266
"LSO","BWA",160.128
"LSO","COG",71.328
"LSO","ETH",40.35
"LSO","KEN",1.024
"LSO","NAM",10.187
"LSO","NGA",1570.566
"LSO","SWZ",309428.93
"LSO","TZA",63
"LSO","UGA",3.645
"LSO","ZAF",76883.764
"LSO","ZMB",34.388
"LSO","ZWE",660.182
"MAR","AGO",67575.863
"MAR","BDI",229536.11
"MAR","BEN",95046.24
"MAR","BFA",2959556.096
"MAR","CAF",2156.279
"MAR","CIV",16177931.51
"MAR","CMR",519989.922
"MAR","COD",30729.571
"MAR","COG",4385.39
"MAR","CPV",5351.257
"MAR","DJI",406743.29
"MAR","DZA",659337.005
"MAR","EGY",728635.934
"MAR","ETH",56079.93
"MAR","GAB",461906.495
"MAR","GHA",35503.992
"MAR","GIN",411307.374
"MAR","GMB",11824.9
"MAR","GNB",873760.054
"MAR","GNQ",754300.623
"MAR","KEN",444609.08
"MAR","LBR",72389.18
"MAR","LBY",4394859.632
"MAR","MDG",348048.644
"MAR","MLI",549487.659
"MAR","MOZ",215.288
"MAR","MRT",3284181.759
"MAR","MUS",216992.45
"MAR","MWI",52331.989
"MAR","NER",1674809.595
"MAR","NGA",186805.855
"MAR","RWA",419284.78
"MAR","SDN",971768.893
"MAR","SEN",13927696.737
"MAR","SLE",36199.591
"MAR","SOM",56698.604
"MAR","SYC",338.449
"MAR","TCD",249113.508
"MAR","TGO",18469.279
"MAR","TUN",4537065.64
"MAR","TZA",24.113
"MAR","UGA",51
"MAR","ZAF",122598.354
"MDG","BFA",59.764
"MDG","CIV",103.48
"MDG","COM",66890.43
"MDG","MWI",72696.088
"MDG","TGO",9.794
"MDG","ZAF",64.548
"MLI","BDI",475.55
"MLI","BEN",895708.107
"MLI","BFA",1951342.424
"MLI","CIV",661688.7
"MLI","COG",17497.49
"MLI","ETH",68.96
"MLI","MAR",342.851
"MLI","MOZ",4492.171
"MLI","MRT",207526.552
"MLI","NER",742944.474
"MLI","RWA",51.92
"MLI","SEN",30601.829
"MLI","SYC",205.814
"MLI","TGO",204467.746
"MLI","ZAF",1344.713
"MOZ","AGO",850.824
"MOZ","BWA",20.188
"MOZ","KEN",5.204
"MOZ","LBR",126.45
"MOZ","MWI",90228.985
"MOZ","NAM",5.154
"MOZ","NGA",856.798
"MOZ","SWZ",1268.41
"MOZ","TZA",70
"MOZ","ZAF",754.16
"MOZ","ZMB",18633.912
"MOZ","ZWE",6365.998
"MRT","AGO",1098.413
"MRT","BFA",1329.093
"MRT","COD",1461.873
"MRT","SEN",26587.401
"MUS","BFA",118237.004
"MUS","BWA",576346.336
"MUS","CIV",325554.94
"MUS","COM",513254.71
"MUS","GHA",101.735
"MUS","KEN",87589.404
"MUS","MDG",11016076.016
"MUS","MOZ",437208.678
"MUS","NAM",29.963
"MUS","NER",116396.37
"MUS","NGA",814156.173
"MUS","RWA",23281.96
"MUS","SWZ",7992.55
"MUS","SYC",1030014.432
"MUS","TZA",1086.91
"MUS","UGA",17770
"MUS","ZAF",129379.906
"MUS","ZMB",274229.552
"MUS","ZWE",5181342.913
"MWI","BDI",25733.48
"MWI","BWA",384.428
"MWI","ETH",25.149
"MWI","KEN",12434.517
"MWI","LSO",937.232
"MWI","MOZ",37090.915
"MWI","NAM",42.967
"MWI","RWA",23216.46
"MWI","TZA",104248.57
"MWI","UGA",75488
"MWI","ZAF",731.234
"MWI","ZMB",354624.708
"MWI","ZWE",47.872
"NAM","AGO",1187636.725
"NAM","BWA",69785.698
"NAM","CIV",33069.49
"NAM","CMR",6779.812
"NAM","COD",5515589.46
"NAM","COG",733.287
"NAM","EGY",183.576
"NAM","ERI",614.759
"NAM","ETH",896.957
"NAM","GHA",154.405
"NAM","KEN",9.458
"NAM","LBR",1090.064
"NAM","LSO",11674.874
"NAM","MDG",29.171
"NAM","MOZ",3672.198
"NAM","MRT",140.509
"NAM","MUS",4997.502
"NAM","MWI",230.612
"NAM","NER",19.15
"NAM","NGA",897.221
"NAM","RWA",4.184
"NAM","SDN",52.365
"NAM","SLE",276.742
"NAM","SWZ",46115.98
"NAM","SYC",686.076
"NAM","TZA",4863.87
"NAM","UGA",1795.532
"NAM","ZAF",532189.173
"NAM","ZMB",12175.009
"NAM","ZWE",199340.337
"NER","BEN",132.336
"NER","BFA",134813.229
"NER","COD",108819.798
"NER","DZA",2143.302
"NER","ETH",7.21
"NER","KEN",16112.924
"NER","MLI",192658.432
"NER","NGA",52003.119
"NER","SEN",2004.682
"NER","STP",690.378
"NER","TCD",1091397.857
"NER","TGO",349.282
"NER","TZA",203.91
"NER","ZAF",3232.41
"NGA","AGO",11839.526
"NGA","BEN",222256.273
"NGA","BFA",3247.889
"NGA","BWA",4148.3
"NGA","CAF",15927.591
"NGA","CIV",1775600.68
"NGA","CMR",46674.917
"NGA","COD",13391.884
"NGA","COG",188782.33
"NGA","EGY",351.014
"NGA","ETH",487.1
"NGA","GHA",4668078.42
"NGA","GMB",11129.797
"NGA","KEN",7470.101
"NGA","LBR",47665.635
"NGA","MOZ",1108.141
"NGA","MRT",348.134
"NGA","MUS",56.994
"NGA","MWI",960.316
"NGA","NAM",1247.662
"NGA","NER",119783.802
"NGA","RWA",60808.48
"NGA","SEN",690213.89
"NGA","STP",5309.197
"NGA","SWZ",602.85
"NGA","SYC",196.106
"NGA","TCD",507355.701
"NGA","TGO",82379.765
"NGA","TUN",7.15
"NGA","TZA",4428.26
"NGA","UGA",714
"NGA","ZAF",1045835.814
"NGA","ZMB",1332.782
"NGA","ZWE",868.468
"RWA","BDI",138173.11
"RWA","BEN",4740.096
"RWA","BWA",3911.915
"RWA","COD",113567.846
"RWA","COG",1736.38
"RWA","ETH",134911.93
"RWA","KEN",9880.018
"RWA","LSO",90.041
"RWA","MDG",4291.36
"RWA","MWI",98.245
"RWA","NAM",40440.396
"RWA","NGA",6240.594
"RWA","SSD",42960.65
"RWA","SWZ",432.95
"RWA","TZA",4250
"RWA","UGA",8088
"RWA","ZAF",119.104
"RWA","ZWE",2857.55
"SDN","BDI",225330.67
"SDN","COD",118.066
"SDN","EGY",656.55
"SDN","ETH",727129.38
"SDN","UGA",6
"SDN","ZWE",261.408
"SEN","AGO",57.449
"SEN","BDI",6981.76
"SEN","BEN",51869.56
"SEN","BFA",98768.254
"SEN","CAF",57229.861
"SEN","CIV",2759243.4
"SEN","CMR",21039.049
"SEN","COD",245080.344
"SEN","COG",3926.23
"SEN","CPV",17375.294
"SEN","ETH",68.19
"SEN","GAB",76992.319
"SEN","GHA",87241.579
"SEN","GIN",6787124.177
"SEN","GMB",257326.157
"SEN","GNB",2109073.58
"SEN","GNQ",2007.948
"SEN","KEN",65.739
"SEN","LBR",8401.295
"SEN","MAR",4122.631
"SEN","MDG",920.461
"SEN","MLI",11579269.771
"SEN","MOZ",8170.845
"SEN","MRT",242111.797
"SEN","MUS",22474.003
"SEN","NAM",1556.461
"SEN","NER",159844.141
"SEN","NGA",1263983.424
"SEN","SLE",438212.08
"SEN","TGO",11776.888
"SEN","TUN",22220.38
"SEN","UGA",13299
"SEN","ZAF",59247.903
"SEN","ZMB",69023.975
"SEN","ZWE",227.552
"SLE","CIV",6985.39
"SLE","KEN",1193.912
"SLE","MUS",2101.187
"SLE","NAM",850.528
"SLE","RWA",17449.88
"SLE","SEN",1200.213
"SLE","UGA",24012
"SLE","ZAF",364969.677
"SLE","ZMB",15398.926
"SOM","ETH",278901.63
"SOM","KEN",25.877
"SOM","ZAF",54.433
"SSD","KEN",11.281
"SSD","UGA",12074
"STP","AGO",806.914
"STP","MOZ",347910.175
"SWZ","BDI",23.38
"SWZ","BEN",557346.584
"SWZ","BFA",727370.476
"SWZ","BWA",216.761
"SWZ","CAF",6181.882
"SWZ","CIV",5422.81
"SWZ","CMR",6.72
"SWZ","COD",701.45
"SWZ","COG",193.73
"SWZ","EGY",150215.149
"SWZ","ERI",558.92
"SWZ","ETH",235.65
"SWZ","GMB",591.934
"SWZ","KEN",62457.288
"SWZ","LBR",95.36
"SWZ","LSO",93.33
"SWZ","MAR",55339.68
"SWZ","MOZ",7282.59
"SWZ","MRT",112138.258
"SWZ","MUS",31318.3
"SWZ","MWI",21.382
"SWZ","NAM",133705.774
"SWZ","NGA",2017059.097
"SWZ","RWA",42.56
"SWZ","SDN",20.89
"SWZ","TZA",7258
"SWZ","UGA",56.84
"SWZ","ZAF",260923.233
"SWZ","ZMB",247768.972
"SWZ","ZWE",145952.659
"SYC","MUS",117.673
"SYC","NGA",16989.43
"SYC","TZA",17.18
"SYC","ZAF",22.987
"SYC","ZWE",4580.372
"TCD","COG",123.38
"TCD","KEN",7.045
"TCD","NER",29910.336
"TCD","ZAF",107.518
"TGO","AGO",1818.965
"TGO","BEN",3054278.45
"TGO","BFA",1004947.674
"TGO","CAF",5238.43
"TGO","CIV",524569.7
"TGO","COD",1266.484
"TGO","COG",40734.01
"TGO","GAB",433010.337
"TGO","GHA",273141.193
"TGO","GIN",2081.892
"TGO","GMB",2383.723
"TGO","MDG",2814.618
"TGO","MLI",868921.212
"TGO","NER",937439.376
"TGO","NGA",9179.861
"TGO","SEN",214240.723
"TGO","STP",4404.181
"TGO","TCD",87599.943
"TGO","UGA",13650
"TGO","ZAF",21.455
"TGO","ZMB",12771.918
"TUN","BDI",45577.99
"TUN","BEN",71811.596
"TUN","BFA",718453.14
"TUN","CIV",4440316.79
"TUN","CMR",273378.23
"TUN","COD",873.419
"TUN","COG",29475.85
"TUN","COM",4998.75
"TUN","CPV",1452.74
"TUN","DJI",104874.03
"TUN","DZA",3840317.15
"TUN","EGY",453.773
"TUN","GAB",89265.17
"TUN","GHA",503.45
"TUN","GIN",40260.9
"TUN","GNB",34970.53
"TUN","GNQ",70.84
"TUN","KEN",336.552
"TUN","LBY",22328907.2
"TUN","MAR",2401874.3
"TUN","MDG",46568.151
"TUN","MLI",88734.45
"TUN","MRT",1819491.757
"TUN","MUS",84666.292
"TUN","NER",224196.285
"TUN","RWA",70623
"TUN","SDN",274066.05
"TUN","SEN",1229553.865
"TUN","TCD",350559.83
"TUN","TGO",108692.949
"TUN","TUN",0
"TUN","TZA",33.41
"TUN","UGA",98868
"TUN","ZAF",1.165
"TZA","AGO",4214.899
"TZA","BDI",305194.2
"TZA","BWA",9.71
"TZA","CIV",12735.71
"TZA","CMR",193.43
"TZA","COD",201944.831
"TZA","COM",166577.87
"TZA","EGY",31.728
"TZA","ETH",170836.35
"TZA","GHA",97919
"TZA","GIN",184.24
"TZA","KEN",7136868.061
"TZA","MOZ",183782.888
"TZA","MWI",13240074.301
"TZA","NAM",16103.357
"TZA","NGA",163448.507
"TZA","RWA",2391988.3
"TZA","SEN",65.36
"TZA","SLE",108.86
"TZA","SOM",1123.75
"TZA","SSD",2687.5
"TZA","SWZ",166.37
"TZA","SYC",150.601
"TZA","UGA",286602
"TZA","ZAF",606.674
"TZA","ZMB",810119.394
"TZA","ZWE",117431.093
"UGA","AGO",131.953
"UGA","BDI",2027440.25
"UGA","BEN",158700
"UGA","BFA",712.175
"UGA","BWA",6957637.269
"UGA","CIV",303.45
"UGA","CMR",78613
"UGA","COD",238747.134
"UGA","KEN",5937823.221
"UGA","MOZ",1099474.898
"UGA","MWI",869121.147
"UGA","NAM",66115.224
"UGA","NER",270997
"UGA","NGA",50.968
"UGA","RWA",169246.54
"UGA","SDN",26399
"UGA","SLE",176825
"UGA","SSD",14589376
"UGA","SWZ",143.8
"UGA","SYC",53.314
"UGA","TZA",5771859.92
"UGA","ZAF",13069431.706
"UGA","ZMB",4559935.419
"UGA","ZWE",272128.648
"ZAF","AGO",13349319.618
"ZAF","BDI",11640.84
"ZAF","BEN",14945.097
"ZAF","BFA",184831.165
"ZAF","BWA",129047580.571
"ZAF","CAF",33546.115
"ZAF","CIV",878299.3
"ZAF","CMR",1328662.349
"ZAF","COD",2938514.147
"ZAF","COG",67444.32
"ZAF","COM",15243.979
"ZAF","CPV",2232.153
"ZAF","DJI",20390.14
"ZAF","DZA",368498.896
"ZAF","EGY",2345304.138
"ZAF","ERI",34934.209
"ZAF","ETH",709657.06
"ZAF","GAB",60710.555
"ZAF","GHA",7300334.288
"ZAF","GIN",280410.685
"ZAF","GMB",2396.712
"ZAF","GNQ",17359.341
"ZAF","KEN",9311895.884
"ZAF","LBR",15367.068
"ZAF","LBY",409728.128
"ZAF","LSO",28383924.783
"ZAF","MAR",656984.645
"ZAF","MDG",489792.862
"ZAF","MLI",217709.818
"ZAF","MOZ",61304537.132
"ZAF","MRT",31123.928
"ZAF","MUS",11663326.304
"ZAF","MWI",13607587.22
"ZAF","NAM",114284589.655
"ZAF","NER",222024.005
"ZAF","NGA",17272066.928
"ZAF","RWA",2721353.16
"ZAF","SDN",127363.175
"ZAF","SEN",44506.586
"ZAF","SLE",124252.381
"ZAF","SOM",17005.402
"ZAF","SSD",61116.659
"ZAF","STP",290757.222
"ZAF","SWZ",33163490.91
"ZAF","SYC",2559134.898
"ZAF","TCD",47.446
"ZAF","TGO",65771.423
"ZAF","TUN",13625.08
"ZAF","TZA",4840162.88
"ZAF","UGA",6164284
"ZAF","ZMB",103854132.217
"ZAF","ZWE",46489776.967
"ZMB","AGO",3595.92
"ZMB","BDI",688.99
"ZMB","BWA",49848.929
"ZMB","COD",894333.54
"ZMB","ETH",889
"ZMB","GAB",65.46
"ZMB","GHA",64.627
"ZMB","KEN",757.187
"ZMB","MDG",3214702.347
"ZMB","MOZ",208073.838
"ZMB","MWI",7523079.481
"ZMB","NAM",108475.842
"ZMB","NER",8255.094
"ZMB","NGA",32424.84
"ZMB","SWZ",190.5
"ZMB","SYC",8.352
"ZMB","TZA",65437.4
"ZMB","UGA",2753
"ZMB","ZAF",268188.003
"ZMB","ZWE",1703057.013
"ZWE","AGO",126354
"ZWE","BWA",785891.784
"ZWE","KEN",155.056
"ZWE","MOZ",317524.708
"ZWE","MUS",255.013
"ZWE","MWI",276560.451
"ZWE","NAM",523297.652
"ZWE","SWZ",72876.03
"ZWE","UGA",10
"ZWE","ZAF",635805.912
"ZWE","ZMB",662903.835
